"Name","Id","PriorityClass","FileVersion","HandleCount","WorkingSet","PagedMemorySize","PrivateMemorySize","VirtualMemorySize","TotalProcessorTime","SI","Handles","VM","WS","PM","NPM","Path","Company","CPU","ProductVersion","Description","Product","__NounName","BasePriority","ExitCode","HasExited","ExitTime","Handle","SafeHandle","MachineName","MainWindowHandle","MainWindowTitle","MainModule","MaxWorkingSet","MinWorkingSet","Modules","NonpagedSystemMemorySize","NonpagedSystemMemorySize64","PagedMemorySize64","PagedSystemMemorySize","PagedSystemMemorySize64","PeakPagedMemorySize","PeakPagedMemorySize64","PeakWorkingSet","PeakWorkingSet64","PeakVirtualMemorySize","PeakVirtualMemorySize64","PriorityBoostEnabled","PrivateMemorySize64","PrivilegedProcessorTime","ProcessName","ProcessorAffinity","Responding","SessionId","StartInfo","StartTime","SynchronizingObject","Threads","UserProcessorTime","VirtualMemorySize64","EnableRaisingEvents","StandardInput","StandardOutput","StandardError","WorkingSet64","Site","Container"
"MicrosoftEdgeUpdate","5036","Normal","1.3.143.57","205","3379200","2007040","2007040","56479744","00:00:00.1093750","0","205","56479744","3379200","2007040","12752","C:\Program Files (x86)\Microsoft\EdgeUpdate\MicrosoftEdgeUpdate.exe","Microsoft Corporation","0.109375","1.3.143.57","Microsoft Edge Update","Microsoft Edge Update","Process","8",,"False",,"2712","Microsoft.Win32.SafeHandles.SafeProcessHandle",".","0","","System.Diagnostics.ProcessModule (MicrosoftEdgeUpdate.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","12752","12752","2007040","109888","109888","2224128","2224128","10788864","10788864","61853696","61853696","True","2007040","00:00:00.0937500","MicrosoftEdgeUpdate","15","True","0","System.Diagnostics.ProcessStartInfo","3/17/2025 8:55:09 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0156250","56479744","False",,,,"3379200",,
"mmc","404","Normal","10.0.19041.1 (WinBuild.160101.0800)","1133","10772480","79757312","79757312","792215552","00:00:10.5781250","1","1133","2204110438400","10772480","79757312","53648","C:\WINDOWS\system32\mmc.exe","Microsoft Corporation","10.578125","10.0.19041.1","Microsoft Management Console","Microsoft? Windows? Operating System","Process","8",,"False",,"4092","Microsoft.Win32.SafeHandles.SafeProcessHandle",".","853682","Computer Management","System.Diagnostics.ProcessModule (mmc.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","53648","53648","79757312","624984","624984","80109568","80109568","69201920","69201920","802103296","2204120326144","True","79757312","00:00:06.2968750","mmc","15","True","1","System.Diagnostics.ProcessStartInfo","3/17/2025 2:34:33 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:04.2812500","2204110438400","False",,,,"10772480",,
"MoUsoCoreWorker","9068","Normal","10.0.19041.1266 (WinBuild.160101.0800)","311","18538496","10305536","10305536","109441024","00:00:00.9375000","0","311","2203427663872","18538496","10305536","18600","C:\Windows\System32\mousocoreworker.exe","Microsoft Corporation","0.9375","10.0.19041.1266","MoUSO Core Worker Process","Microsoft? Windows? Operating System","Process","8",,"False",,"4544","Microsoft.Win32.SafeHandles.SafeProcessHandle",".","0","","System.Diagnostics.ProcessModule (mousocoreworker.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","18600","18600","10305536","140480","140480","11411456","11411456","26923008","26923008","136777728","2203455000576","True","10305536","00:00:00.3593750","MoUsoCoreWorker","15","True","0","System.Diagnostics.ProcessStartInfo","3/18/2025 9:26:34 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.5781250","2203427663872","False",,,,"18538496",,
"MpCopyAccelerator","6156",,,"97","4726784","2764800","2764800","61685760","00:00:00.3281250","0","97","2203379908608","4726784","2764800","7112",,,"0.328125",,,,"Process","8",,,,,,".","0","",,,,,"7112","7112","2764800","51480","51480","2895872","2895872","6565888","6565888","63782912","2203382005760",,"2764800","00:00:00.2968750","MpCopyAccelerator",,"True","0","System.Diagnostics.ProcessStartInfo","3/17/2025 9:35:32 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0312500","2203379908608","False",,,,"4726784",,
"MpDefenderCoreService","7220",,,"486","14249984","9474048","9474048","116580352","00:00:01.0156250","0","486","2203434803200","14249984","9474048","17440",,,"1.015625",,,,"Process","8",,,,,,".","0","",,,,,"17440","17440","9474048","156640","156640","10809344","10809344","23498752","23498752","122441728","2203440664576",,"9474048","00:00:00.7812500","MpDefenderCoreService",,"True","0","System.Diagnostics.ProcessStartInfo","3/17/2025 9:03:44 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.2343750","2203434803200","False",,,,"14249984",,
"msedge","1104","Normal","134.0.3124.72","242","4632576","8388608","8388608","517533696","00:00:00.0937500","1","242","2306914971648","4632576","8388608","14000","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe","Microsoft Corporation","0.09375","134.0.3124.72","Microsoft Edge","Microsoft Edge","Process","8",,"False",,"5296","Microsoft.Win32.SafeHandles.SafeProcessHandle",".","0","","System.Diagnostics.ProcessModule (msedge.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","14000","14000","8388608","807216","807216","8634368","8634368","24739840","24739840","551088128","2306948526080","True","8388608","00:00:00.0625000","msedge","15","True","1","System.Diagnostics.ProcessStartInfo","3/17/2025 2:46:44 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0312500","2306914971648","False",,,,"4632576",,
"msedge","1444","Normal","134.0.3124.72","181","4902912","8261632","8261632","500019200","00:00:00.0781250","1","181","2306897457152","4902912","8261632","12096","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe","Microsoft Corporation","0.078125","134.0.3124.72","Microsoft Edge","Microsoft Edge","Process","8",,"False",,"5248","Microsoft.Win32.SafeHandles.SafeProcessHandle",".","0","","System.Diagnostics.ProcessModule (msedge.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","12096","12096","8261632","751424","751424","12283904","12283904","21155840","21155840","500019200","2306897457152","True","8261632","00:00:00.0156250","msedge","15","True","1","System.Diagnostics.ProcessStartInfo","3/17/2025 2:45:44 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0625000","2306897457152","False",,,,"4902912",,
"msedge","2728","Idle","134.0.3124.72","345","1810432","79699968","79699968","1839898624","00:00:05.5312500","1","345","3764231249920","1810432","79699968","26096","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe","Microsoft Corporation","5.53125","134.0.3124.72","Microsoft Edge","Microsoft Edge","Process","4",,"False",,"5796","Microsoft.Win32.SafeHandles.SafeProcessHandle",".","0","","System.Diagnostics.ProcessModule (msedge.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","26096","26096","79699968","871344","871344","96739328","96739328","172412928","172412928","1881075712","3764272427008","True","79699968","00:00:01.0312500","msedge","15","True","1","System.Diagnostics.ProcessStartInfo","3/18/2025 10:03:34 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:04.5000000","3764231249920","False",,,,"1810432",,
"msedge","4492","Idle","134.0.3124.72","351","70778880","84025344","84025344","1866428416","00:00:04.2812500","1","351","3764257779712","70778880","84025344","30856","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe","Microsoft Corporation","4.28125","134.0.3124.72","Microsoft Edge","Microsoft Edge","Process","4",,"False",,"5624","Microsoft.Win32.SafeHandles.SafeProcessHandle",".","0","","System.Diagnostics.ProcessModule (msedge.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","30856","30856","84025344","931352","931352","106405888","106405888","187547648","187547648","1904766976","3764296118272","True","84025344","00:00:01","msedge","15","True","1","System.Diagnostics.ProcessStartInfo","3/18/2025 10:12:43 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:03.2812500","3764257779712","False",,,,"70778880",,
"msedge","5084","Idle","134.0.3124.72","329","1310720","66760704","66760704","104861696","00:00:04.6718750","1","329","3762496212992","1310720","66760704","23672","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe","Microsoft Corporation","4.671875","134.0.3124.72","Microsoft Edge","Microsoft Edge","Process","4",,"False",,"5724","Microsoft.Win32.SafeHandles.SafeProcessHandle",".","0","","System.Diagnostics.ProcessModule (msedge.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","23672","23672","66760704","908680","908680","91271168","91271168","167534592","167534592","1905709056","3764297060352","True","66760704","00:00:00.7031250","msedge","15","True","1","System.Diagnostics.ProcessStartInfo","3/17/2025 2:46:09 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:03.9687500","3762496212992","False",,,,"1310720",,
"msedge","5208","Idle","134.0.3124.72","345","1351680","76230656","76230656","1839898624","00:00:02.6562500","1","345","3764231249920","1351680","76230656","25760","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe","Microsoft Corporation","2.65625","134.0.3124.72","Microsoft Edge","Microsoft Edge","Process","4",,"False",,"4768","Microsoft.Win32.SafeHandles.SafeProcessHandle",".","0","","System.Diagnostics.ProcessModule (msedge.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","25760","25760","76230656","867024","867024","92475392","92475392","168284160","168284160","1879535616","3764270886912","True","76230656","00:00:00.6093750","msedge","15","True","1","System.Diagnostics.ProcessStartInfo","3/17/2025 2:48:34 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:02.0468750","3764231249920","False",,,,"1351680",,
"msedge","5876","Normal","134.0.3124.72","184","3743744","2105344","2105344","159313920","00:00:00.0625000","1","184","2272197013504","3743744","2105344","8968","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe","Microsoft Corporation","0.0625","134.0.3124.72","Microsoft Edge","Microsoft Edge","Process","8",,"False",,"4616","Microsoft.Win32.SafeHandles.SafeProcessHandle",".","0","","System.Diagnostics.ProcessModule (msedge.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","8968","8968","2105344","125920","125920","2273280","2273280","7675904","7675904","184479744","2272222179328","True","2105344","00:00:00.0312500","msedge","15","True","1","System.Diagnostics.ProcessStartInfo","3/17/2025 2:45:43 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0312500","2272197013504","False",,,,"3743744",,
