"Name","SI","Handles","VM","WS","PM","NPM","Path","Company","CPU","FileVersion","ProductVersion","Description","Product","__NounName","BasePriority","ExitCode","HasExited","ExitTime","Handle","SafeHandle","HandleCount","Id","MachineName","MainWindowHandle","MainWindowTitle","MainModule","MaxWorkingSet","MinWorkingSet","Modules","NonpagedSystemMemorySize","NonpagedSystemMemorySize64","PagedMemorySize","PagedMemorySize64","PagedSystemMemorySize","PagedSystemMemorySize64","PeakPagedMemorySize","PeakPagedMemorySize64","PeakWorkingSet","PeakWorkingSet64","PeakVirtualMemorySize","PeakVirtualMemorySize64","PriorityBoostEnabled","PriorityClass","PrivateMemorySize","PrivateMemorySize64","PrivilegedProcessorTime","ProcessName","ProcessorAffinity","Responding","SessionId","StartInfo","StartTime","SynchronizingObject","Threads","TotalProcessorTime","UserProcessorTime","VirtualMemorySize","VirtualMemorySize64","EnableRaisingEvents","StandardInput","StandardOutput","StandardError","WorkingSet","WorkingSet64","Site","Container"
"svchost","0","182","2203388882944","4583424","1253376","7336","C:\WINDOWS\System32\svchost.exe","Microsoft Corporation","0.03125","10.0.19041.1 (WinBuild.160101.0800)","10.0.19041.1","Host Process for Windows Services","Microsoft? Windows? Operating System","Process","8",,"False",,"5432","Microsoft.Win32.SafeHandles.SafeProcessHandle","182","2440",".","0","","System.Diagnostics.ProcessModule (svchost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","7336","7336","1253376","1253376","65464","65464","1409024","1409024","5943296","5943296","73285632","2203391508480","True","Normal","1253376","1253376","00:00:00.0312500","svchost","15","True","0","System.Diagnostics.ProcessStartInfo","3/17/2025 8:52:11 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0312500","00:00:00","70660096","2203388882944","False",,,,"4583424","4583424",,
"svchost","0","170","2203394678784","6021120","1839104","9656","C:\WINDOWS\system32\svchost.exe","Microsoft Corporation","0.015625","10.0.19041.1 (WinBuild.160101.0800)","10.0.19041.1","Host Process for Windows Services","Microsoft? Windows? Operating System","Process","8",,"False",,"1772","Microsoft.Win32.SafeHandles.SafeProcessHandle","170","2608",".","0","","System.Diagnostics.ProcessModule (svchost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","9656","9656","1839104","1839104","79424","79424","2220032","2220032","8572928","8572928","82776064","2203400998912","True","Normal","1839104","1839104","00:00:00","svchost","15","True","0","System.Diagnostics.ProcessStartInfo","3/17/2025 8:52:11 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0156250","00:00:00.0156250","76455936","2203394678784","False",,,,"6021120","6021120",,
"svchost","0","259","2203405266944","7729152","2584576","17448","C:\WINDOWS\System32\svchost.exe","Microsoft Corporation","0.265625","10.0.19041.1 (WinBuild.160101.0800)","10.0.19041.1","Host Process for Windows Services","Microsoft? Windows? Operating System","Process","8",,"False",,"5532","Microsoft.Win32.SafeHandles.SafeProcessHandle","259","2660",".","0","","System.Diagnostics.ProcessModule (svchost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","17448","17448","2584576","2584576","109232","109232","2875392","2875392","11599872","11599872","91238400","2203409461248","True","Normal","2584576","2584576","00:00:00.0781250","svchost","15","True","0","System.Diagnostics.ProcessStartInfo","3/17/2025 8:52:11 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.2656250","00:00:00.1875000","87044096","2203405266944","False",,,,"7729152","7729152",,
"svchost","0","140","2203389779968","5427200","1486848","8888","C:\WINDOWS\System32\svchost.exe","Microsoft Corporation","0","10.0.19041.1 (WinBuild.160101.0800)","10.0.19041.1","Host Process for Windows Services","Microsoft? Windows? Operating System","Process","8",,"False",,"4452","Microsoft.Win32.SafeHandles.SafeProcessHandle","140","2680",".","0","","System.Diagnostics.ProcessModule (svchost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","8888","8888","1486848","1486848","68112","68112","1880064","1880064","7507968","7507968","76275712","2203394498560","True","Normal","1486848","1486848","00:00:00","svchost","15","True","0","System.Diagnostics.ProcessStartInfo","3/17/2025 8:52:11 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00","00:00:00","71557120","2203389779968","False",,,,"5427200","5427200",,
"svchost","0","168","2203425267712","7278592","2482176","10584","C:\WINDOWS\system32\svchost.exe","Microsoft Corporation","0.1875","10.0.19041.1 (WinBuild.160101.0800)","10.0.19041.1","Host Process for Windows Services","Microsoft? Windows? Operating System","Process","8",,"False",,"2756","Microsoft.Win32.SafeHandles.SafeProcessHandle","168","2708",".","0","","System.Diagnostics.ProcessModule (svchost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","10584","10584","2482176","2482176","125472","125472","3162112","3162112","13135872","13135872","233984000","2203552206848","True","Normal","2482176","2482176","00:00:00.0781250","svchost","15","True","0","System.Diagnostics.ProcessStartInfo","3/17/2025 8:52:11 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.1875000","00:00:00.1093750","107044864","2203425267712","False",,,,"7278592","7278592",,
"svchost","0","275","2203428442112","13565952","4157440","16560","C:\WINDOWS\System32\svchost.exe","Microsoft Corporation","0.328125","10.0.19041.1 (WinBuild.160101.0800)","10.0.19041.1","Host Process for Windows Services","Microsoft? Windows? Operating System","Process","8",,"False",,"2840","Microsoft.Win32.SafeHandles.SafeProcessHandle","275","2732",".","0","","System.Diagnostics.ProcessModule (svchost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","16560","16560","4157440","4157440","147536","147536","5009408","5009408","21708800","21708800","117514240","2203435737088","True","Normal","4157440","4157440","00:00:00.1406250","svchost","15","True","0","System.Diagnostics.ProcessStartInfo","3/17/2025 8:53:17 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.3281250","00:00:00.1875000","110219264","2203428442112","False",,,,"13565952","13565952",,
"svchost","1","454","2203486834688","26099712","8200192","21720","C:\WINDOWS\system32\svchost.exe","Microsoft Corporation","1.09375","10.0.19041.1 (WinBuild.160101.0800)","10.0.19041.1","Host Process for Windows Services","Microsoft? Windows? Operating System","Process","8",,"False",,"4248","Microsoft.Win32.SafeHandles.SafeProcessHandle","454","2748",".","0","","System.Diagnostics.ProcessModule (svchost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","21720","21720","8200192","8200192","273272","273272","9601024","9601024","33357824","33357824","217546752","2203535769600","True","Normal","8200192","8200192","00:00:00.3125000","svchost","15","True","1","System.Diagnostics.ProcessStartInfo","3/17/2025 8:59:01 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:01.0937500","00:00:00.7812500","168611840","2203486834688","False",,,,"26099712","26099712",,
"svchost","0","376","2203403563008","7974912","2965504","16152","C:\WINDOWS\System32\svchost.exe","Microsoft Corporation","0.171875","10.0.19041.1 (WinBuild.160101.0800)","10.0.19041.1","Host Process for Windows Services","Microsoft? Windows? Operating System","Process","8",,"False",,"5660","Microsoft.Win32.SafeHandles.SafeProcessHandle","376","2784",".","0","","System.Diagnostics.ProcessModule (svchost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","16152","16152","2965504","2965504","104608","104608","3907584","3907584","12353536","12353536","98758656","2203416981504","True","Normal","2965504","2965504","00:00:00.0781250","svchost","15","True","0","System.Diagnostics.ProcessStartInfo","3/17/2025 8:52:12 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.1718750","00:00:00.0937500","85340160","2203403563008","False",,,,"7974912","7974912",,
"svchost","0","208","2203400335360","6975488","2015232","10456","C:\WINDOWS\System32\svchost.exe","Microsoft Corporation","0.0625","10.0.19041.1 (WinBuild.160101.0800)","10.0.19041.1","Host Process for Windows Services","Microsoft? Windows? Operating System","Process","8",,"False",,"5824","Microsoft.Win32.SafeHandles.SafeProcessHandle","208","2808",".","0","","System.Diagnostics.ProcessModule (svchost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","10456","10456","2015232","2015232","81992","81992","2297856","2297856","9019392","9019392","83685376","2203401908224","True","Normal","2015232","2015232","00:00:00.0468750","svchost","15","True","0","System.Diagnostics.ProcessStartInfo","3/17/2025 8:52:11 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0625000","00:00:00.0156250","82112512","2203400335360","False",,,,"6975488","6975488",,
"svchost","0","175","2203393396736","6369280","2027520","9952","C:\WINDOWS\system32\svchost.exe","Microsoft Corporation","0.484375","10.0.19041.1 (WinBuild.160101.0800)","10.0.19041.1","Host Process for Windows Services","Microsoft? Windows? Operating System","Process","8",,"False",,"3000","Microsoft.Win32.SafeHandles.SafeProcessHandle","175","2928",".","0","","System.Diagnostics.ProcessModule (svchost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","9952","9952","2027520","2027520","75864","75864","2695168","2695168","7979008","7979008","79368192","2203397591040","True","Normal","2027520","2027520","00:00:00.3281250","svchost","15","True","0","System.Diagnostics.ProcessStartInfo","3/17/2025 8:52:11 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.4843750","00:00:00.1562500","75173888","2203393396736","False",,,,"6369280","6369280",,
