"Name","SI","Handles","VM","WS","PM","NPM","Path","Company","CPU","FileVersion","ProductVersion","Description","Product","__NounName","BasePriority","ExitCode","HasExited","ExitTime","Handle","SafeHandle","HandleCount","Id","MachineName","MainWindowHandle","MainWindowTitle","MainModule","MaxWorkingSet","MinWorkingSet","Modules","NonpagedSystemMemorySize","NonpagedSystemMemorySize64","PagedMemorySize","PagedMemorySize64","PagedSystemMemorySize","PagedSystemMemorySize64","PeakPagedMemorySize","PeakPagedMemorySize64","PeakWorkingSet","PeakWorkingSet64","PeakVirtualMemorySize","PeakVirtualMemorySize64","PriorityBoostEnabled","PriorityClass","PrivateMemorySize","PrivateMemorySize64","PrivilegedProcessorTime","ProcessName","ProcessorAffinity","Responding","SessionId","StartInfo","StartTime","SynchronizingObject","Threads","TotalProcessorTime","UserProcessorTime","VirtualMemorySize","VirtualMemorySize64","EnableRaisingEvents","StandardInput","StandardOutput","StandardError","WorkingSet","WorkingSet64","Site","Container"
"MicrosoftEdgeUpdate","0","205","56479744","3969024","2031616","12752","C:\Program Files (x86)\Microsoft\EdgeUpdate\MicrosoftEdgeUpdate.exe","Microsoft Corporation","0.046875","1.3.143.57","1.3.143.57","Microsoft Edge Update","Microsoft Edge Update","Process","8",,"False",,"2596","Microsoft.Win32.SafeHandles.SafeProcessHandle","205","8140",".","0","","System.Diagnostics.ProcessModule (MicrosoftEdgeUpdate.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","12752","12752","2031616","2031616","109888","109888","2228224","2228224","10686464","10686464","61853696","61853696","True","Normal","2031616","2031616","00:00:00.0468750","MicrosoftEdgeUpdate","15","True","0","System.Diagnostics.ProcessStartInfo","3/17/2025 9:21:29 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0468750","00:00:00","56479744","56479744","False",,,,"3969024","3969024",,
"MoUsoCoreWorker","0","309","2203427557376","30691328","10469376","18464","C:\Windows\System32\mousocoreworker.exe","Microsoft Corporation","0.84375","10.0.19041.1266 (WinBuild.160101.0800)","10.0.19041.1266","MoUSO Core Worker Process","Microsoft? Windows? Operating System","Process","8",,"False",,"6628","Microsoft.Win32.SafeHandles.SafeProcessHandle","309","6068",".","0","","System.Diagnostics.ProcessModule (mousocoreworker.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","18464","18464","10469376","10469376","140272","140272","11673600","11673600","35028992","35028992","136146944","2203454369792","True","Normal","10469376","10469376","00:00:00.3906250","MoUsoCoreWorker","15","True","0","System.Diagnostics.ProcessStartInfo","3/17/2025 9:20:53 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.8437500","00:00:00.4531250","109334528","2203427557376","False",,,,"30691328","30691328",,
"MpCopyAccelerator","0","97","2203379908608","5644288","1855488","7112",,,"0.203125",,,,,"Process","8",,,,,,"97","1856",".","0","",,,,,"7112","7112","1855488","1855488","51480","51480","2908160","2908160","6602752","6602752","63782912","2203382005760",,,"1855488","1855488","00:00:00.2031250","MpCopyAccelerator",,"True","0","System.Diagnostics.ProcessStartInfo","3/17/2025 9:35:12 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.2031250","00:00:00","61685760","2203379908608","False",,,,"5644288","5644288",,
"MpDefenderCoreService","0","486","2203430600704","17022976","9048064","17304",,,"0.453125",,,,,"Process","8",,,,,,"486","2504",".","0","",,,,,"17304","17304","9048064","9048064","156864","156864","9584640","9584640","22204416","22204416","118808576","2203437031424",,,"9048064","9048064","00:00:00.3437500","MpDefenderCoreService",,"True","0","System.Diagnostics.ProcessStartInfo","3/17/2025 9:26:49 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.4531250","00:00:00.1093750","112377856","2203430600704","False",,,,"17022976","17022976",,
"MsMpEng","0","839","2204051861504","260546560","311046144","217792",,,"387.546875",,,,,"Process","8",,,,,,"839","3376",".","0","",,,,,"217792","217792","311046144","311046144","723248","723248","1069637632","1069637632","1005371392","1005371392","1632231424","2204950454272",,,"311046144","311046144","00:01:54.1406250","MsMpEng",,"True","0","System.Diagnostics.ProcessStartInfo","3/17/2025 9:26:40 AM",,"System.Diagnostics.ProcessThreadCollection","00:06:27.5468750","00:04:33.4062500","733638656","2204051861504","False",,,,"260546560","260546560",,
"NisSrv","0","202","2203414507520","8777728","3887104","38400",,,"0.0625",,,,,"Process","8",,,,,,"202","7680",".","0","",,,,,"38400","38400","3887104","3887104","120448","120448","4468736","4468736","11329536","11329536","99954688","2203418177536",,,"3887104","3887104","00:00:00.0312500","NisSrv",,"True","0","System.Diagnostics.ProcessStartInfo","3/17/2025 9:26:49 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0625000","00:00:00.0312500","96284672","2203414507520","False",,,,"8777728","8777728",,
"notepad","1","504","2203544031232","2564096","10104832","28536","C:\WINDOWS\system32\notepad.exe","Microsoft Corporation","1.25","10.0.19041.1 (WinBuild.160101.0800)","10.0.19041.1","Notepad","Microsoft? Windows? Operating System","Process","8",,"False",,"6644","Microsoft.Win32.SafeHandles.SafeProcessHandle","504","4092",".","132452","*Untitled - Notepad","System.Diagnostics.ProcessModule (notepad.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","28536","28536","10104832","10104832","346840","346840","15142912","15142912","41828352","41828352","252436480","2203570659328","True","Normal","10104832","10104832","00:00:00.7031250","notepad","15","True","1","System.Diagnostics.ProcessStartInfo","3/17/2025 10:42:06 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:01.2500000","00:00:00.5468750","225808384","2203544031232","False",,,,"2564096","2564096",,
"notepad","1","309","2203493580800","1359872","3399680","16568","C:\WINDOWS\system32\notepad.exe","Microsoft Corporation","0.125","10.0.19041.1 (WinBuild.160101.0800)","10.0.19041.1","Notepad","Microsoft? Windows? Operating System","Process","8",,"False",,"6992","Microsoft.Win32.SafeHandles.SafeProcessHandle","309","7964",".","1770288","*Untitled - Notepad","System.Diagnostics.ProcessModule (notepad.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","16568","16568","3399680","3399680","265912","265912","4059136","4059136","25612288","25612288","179019776","2203497242624","True","Normal","3399680","3399680","00:00:00.0937500","notepad","15","True","1","System.Diagnostics.ProcessStartInfo","3/17/2025 10:40:36 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.1250000","00:00:00.0312500","175357952","2203493580800","False",,,,"1359872","1359872",,
"OfficeClickToRun","0","638","2203569561600","45928448","37941248","26592","C:\Program Files\Common Files\Microsoft Shared\ClickToRun\OfficeClickToRun.exe","Microsoft Corporation","59.515625","16.0.10361.20002","16.0.10361.20002","Microsoft Office Click-to-Run (SxS)","Microsoft Office","Process","8",,"False",,"6924","Microsoft.Win32.SafeHandles.SafeProcessHandle","638","3380",".","0","","System.Diagnostics.ProcessModule (OfficeClickToRun.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","26592","26592","37941248","37941248","262440","262440","112902144","112902144","126472192","126472192","333492224","2203651715072","True","Normal","37941248","37941248","00:00:14.1093750","OfficeClickToRun","15","True","0","System.Diagnostics.ProcessStartInfo","3/17/2025 9:18:52 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:59.5156250","00:00:45.4062500","251338752","2203569561600","False",,,,"45928448","45928448",,
"OneDrive","1","867","2207087603712","11993088","50450432","54304","C:\Users\Administrator.ADATUM\AppData\Local\Microsoft\OneDrive\OneDrive.exe","Microsoft Corporation","2.8125","25.031.0217.0003","25.031.0217.0003","Microsoft OneDrive","Microsoft OneDrive","Process","8",,"False",,"6724","Microsoft.Win32.SafeHandles.SafeProcessHandle","867","6496",".","0","","System.Diagnostics.ProcessModule (OneDrive.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","54304","54304","50450432","50450432","860856","860856","54243328","54243328","115576832","115576832","-518139904","2207095050240","True","Normal","50450432","50450432","00:00:01.2656250","OneDrive","15","True","1","System.Diagnostics.ProcessStartInfo","3/17/2025 9:22:21 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:02.8125000","00:00:01.5468750","-525586432","2207087603712","False",,,,"11993088","11993088",,
