"Name","Id","PriorityClass","FileVersion","HandleCount","WorkingSet","PagedMemorySize","PrivateMemorySize","VirtualMemorySize","TotalProcessorTime","SI","Handles","VM","WS","PM","NPM","Path","Company","CPU","ProductVersion","Description","Product","__NounName","BasePriority","ExitCode","HasExited","ExitTime","Handle","SafeHandle","MachineName","MainWindowHandle","MainWindowTitle","MainModule","MaxWorkingSet","MinWorkingSet","Modules","NonpagedSystemMemorySize","NonpagedSystemMemorySize64","PagedMemorySize64","PagedSystemMemorySize","PagedSystemMemorySize64","PeakPagedMemorySize","PeakPagedMemorySize64","PeakWorkingSet","PeakWorkingSet64","PeakVirtualMemorySize","PeakVirtualMemorySize64","PriorityBoostEnabled","PrivateMemorySize64","PrivilegedProcessorTime","ProcessName","ProcessorAffinity","Responding","SessionId","StartInfo","StartTime","SynchronizingObject","Threads","UserProcessorTime","VirtualMemorySize64","EnableRaisingEvents","StandardInput","StandardOutput","StandardError","WorkingSet64","Site","Container"
"sihost","2172","Normal","10.0.19041.746 (WinBuild.160101.0800)","581","26304512","6639616","6639616","167096320","00:00:03.7500000","1","581","2203485319168","26304512","6639616","17992","C:\WINDOWS\system32\sihost.exe","Microsoft Corporation","3.75","10.0.19041.746","Shell Infrastructure Host","Microsoft? Windows? Operating System","Process","8",,"False",,"4272","Microsoft.Win32.SafeHandles.SafeProcessHandle",".","0","","System.Diagnostics.ProcessModule (sihost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","17992","17992","6639616","251512","251512","6877184","6877184","27504640","27504640","173355008","2203491577856","True","6639616","00:00:02.0937500","sihost","15","True","1","System.Diagnostics.ProcessStartInfo","3/17/2025 9:21:04 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:01.6562500","2203485319168","False",,,,"26304512",,
"SkypeApp","1168","Normal","8.53.0.77","485","1294336","12206080","12206080","745037824","00:00:00.3125000","1","485","39399743488","1294336","12206080","36976","C:\Program Files\WindowsApps\Microsoft.SkypeApp_14.53.77.0_x64__kzf8qxf38zg5c\SkypeApp.exe","Microsoft Corporation","0.3125","8.53.0.77","SkypeApp","Microsoft Skype","Process","8",,"False",,"3508","Microsoft.Win32.SafeHandles.SafeProcessHandle",".","0","","System.Diagnostics.ProcessModule (SkypeApp.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","36976","36976","12206080","463664","463664","12288000","12288000","42483712","42483712","749232128","39403937792","True","12206080","00:00:00.2500000","SkypeApp","15","True","1","System.Diagnostics.ProcessStartInfo","3/17/2025 9:21:19 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0625000","39399743488","False",,,,"1294336",,
"SkypeBackgroundHost","2828","Normal","8.53.0.77","152","1347584","2048000","2048000","104087552","00:00:00.0468750","1","152","2203422310400","1347584","2048000","8832","C:\Program Files\WindowsApps\Microsoft.SkypeApp_14.53.77.0_x64__kzf8qxf38zg5c\SkypeBackgroundHost.exe","Microsoft Corporation","0.046875","8.53.0.77","Microsoft Skype","Microsoft? Skype","Process","8",,"False",,"4108","Microsoft.Win32.SafeHandles.SafeProcessHandle",".","0","","System.Diagnostics.ProcessModule (SkypeBackgroundHost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","8832","8832","2048000","127048","127048","2199552","2199552","12947456","12947456","108290048","2203426512896","True","2048000","00:00:00","SkypeBackgroundHost","15","True","1","System.Diagnostics.ProcessStartInfo","3/17/2025 9:21:19 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0468750","2203422310400","False",,,,"1347584",,
"smss","464",,,"53","913408","1081344","1081344","41488384","00:00:00.0781250","0","53","2203359711232","913408","1081344","3224",,,"0.078125",,,,"Process","11",,,,,,".","0","",,,,,"3224","3224","1081344","13208","13208","1122304","1122304","1265664","1265664","49606656","2203367829504",,"1081344","00:00:00.0781250","smss",,"True","0","System.Diagnostics.ProcessStartInfo","3/17/2025 9:18:39 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00","2203359711232","False",,,,"913408",,
"spoolsv","3200","Normal","10.0.19041.1 (WinBuild.160101.0800)","451","13053952","5505024","5505024","104988672","00:00:00.2187500","0","451","2203423211520","13053952","5505024","21816","C:\WINDOWS\System32\spoolsv.exe","Microsoft Corporation","0.21875","10.0.19041.1","Spooler SubSystem App","Microsoft? Windows? Operating System","Process","8",,"False",,"2004","Microsoft.Win32.SafeHandles.SafeProcessHandle",".","0","","System.Diagnostics.ProcessModule (spoolsv.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","21816","21816","5505024","145568","145568","6254592","6254592","16494592","16494592","110292992","2203428515840","True","5505024","00:00:00.1406250","spoolsv","15","True","0","System.Diagnostics.ProcessStartInfo","3/17/2025 9:18:52 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0781250","2203423211520","False",,,,"13053952",,
"SppExtComObj","2168","Normal","10.0.19041.1202 (WinBuild.160101.0800)","178","9064448","2347008","2347008","85671936","00:00:00.0937500","0","178","2203403894784","9064448","2347008","12816","C:\WINDOWS\system32\SppExtComObj.exe","Microsoft Corporation","0.09375","10.0.19041.1202","KMS Connection Broker","Microsoft? Windows? Operating System","Process","8",,"False",,"760","Microsoft.Win32.SafeHandles.SafeProcessHandle",".","0","","System.Diagnostics.ProcessModule (SppExtComObj.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","12816","12816","2347008","102440","102440","2658304","2658304","11206656","11206656","89460736","2203407683584","True","2347008","00:00:00.0468750","SppExtComObj","15","True","0","System.Diagnostics.ProcessStartInfo","3/17/2025 9:18:58 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0468750","2203403894784","False",,,,"9064448",,
"sppsvc","1164",,,"251","27283456","26136576","26136576","139661312","00:01:54.8125000","0","251","2203457884160","27283456","26136576","12368",,,"114.8125",,,,"Process","8",,,,,,".","0","",,,,,"12368","12368","26136576","110336","110336","45510656","45510656","55726080","55726080","146493440","2203464716288",,"26136576","00:00:30.7500000","sppsvc",,"True","0","System.Diagnostics.ProcessStartInfo","3/17/2025 9:18:53 AM",,"System.Diagnostics.ProcessThreadCollection","00:01:24.0625000","2203457884160","False",,,,"27283456",,
"StartMenuExperienceHost","2632","Normal",,"706","59318272","21286912","21286912","388886528","00:00:01.5000000","1","706","2203707109376","59318272","21286912","33224","C:\Windows\SystemApps\Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy\StartMenuExperienceHost.exe",,"1.5",,,,"Process","8",,"False",,"4236","Microsoft.Win32.SafeHandles.SafeProcessHandle",".","0","","System.Diagnostics.ProcessModule (StartMenuExperienceHost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","33224","33224","21286912","600864","600864","26271744","26271744","74727424","74727424","400412672","2203718635520","True","21286912","00:00:00.4218750","StartMenuExperienceHost","15","True","1","System.Diagnostics.ProcessStartInfo","3/17/2025 9:21:17 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:01.0781250","2203707109376","False",,,,"59318272",,
"svchost","536","Normal","10.0.19041.1 (WinBuild.160101.0800)","1268","14884864","8925184","8925184","95821824","00:00:20.7500000","0","1268","2203414044672","14884864","8925184","21320","C:\WINDOWS\system32\svchost.exe","Microsoft Corporation","20.75","10.0.19041.1","Host Process for Windows Services","Microsoft? Windows? Operating System","Process","8",,"False",,"2000","Microsoft.Win32.SafeHandles.SafeProcessHandle",".","0","","System.Diagnostics.ProcessModule (svchost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","21320","21320","8925184","172744","172744","9347072","9347072","15753216","15753216","129220608","2203447443456","True","8925184","00:00:07.9062500","svchost","15","True","0","System.Diagnostics.ProcessStartInfo","3/17/2025 9:18:51 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:12.8437500","2203414044672","False",,,,"14884864",,
"svchost","656","Normal","10.0.19041.1 (WinBuild.160101.0800)","322","10231808","2772992","2772992","83189760","00:00:01.7812500","0","322","2203401412608","10231808","2772992","14328","C:\WINDOWS\system32\svchost.exe","Microsoft Corporation","1.78125","10.0.19041.1","Host Process for Windows Services","Microsoft? Windows? Operating System","Process","8",,"False",,"4880","Microsoft.Win32.SafeHandles.SafeProcessHandle",".","0","","System.Diagnostics.ProcessModule (svchost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","14328","14328","2772992","127168","127168","2990080","2990080","10907648","10907648","87867392","2203406090240","True","2772992","00:00:00.7656250","svchost","15","True","0","System.Diagnostics.ProcessStartInfo","3/17/2025 9:18:51 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:01.0156250","2203401412608","False",,,,"10231808",,
